u,v,lat_u,lon_u,lat_v,lon_v,distance_m,speed_kph,toll,one_way,road_class
N3_0,N4_0,12.906,77.5,12.908,77.5,300,35,0,0,residential
N4_0,N3_0,12.908,77.5,12.906,77.5,300,35,0,0,residential
N3_1,N3_2,12.906,77.502,12.906,77.504,300,40,0,0,residential
N3_2,N3_1,12.906,77.504,12.906,77.502,300,40,0,0,residential
N3_1,N4_1,12.906,77.502,12.908,77.502,300,35,0,0,residential
N4_1,N3_1,12.908,77.502,12.906,77.502,300,35,0,0,residential
N3_2,N3_3,12.906,77.504,12.906,77.506,300,40,0,0,residential
N3_3,N3_2,12.906,77.506,12.906,77.504,300,40,0,0,residential
N3_2,N4_2,12.906,77.504,12.908,77.504,300,35,0,0,residential
N4_2,N3_2,12.908,77.504,12.906,77.504,300,35,0,0,residential
N3_3,N3_4,12.906,77.506,12.906,77.508,300,40,0,0,residential
N3_4,N3_3,12.906,77.508,12.906,77.506,300,40,0,0,residential
N3_3,N4_3,12.906,77.506,12.908,77.506,300,35,0,0,residential
N4_3,N3_3,12.908,77.506,12.906,77.506,300,35,0,0,residential
N3_4,N4_4,12.906,77.508,12.908,77.508,300,35,0,0,residential
N4_4,N3_4,12.908,77.508,12.906,77.508,300,35,0,0,residential
N4_0,N4_1,12.908,77.5,12.908,77.502,300,40,0,0,residential
N4_1,N4_0,12.908,77.502,12.908,77.5,300,40,0,0,residential
N4_1,N4_2,12.908,77.502,12.908,77.504,300,40,0,0,residential
N4_2,N4_1,12.908,77.504,12.908,77.502,300,40,0,0,residential
N4_2,N4_3,12.908,77.504,12.908,77.506,300,40,0,0,residential
N4_3,N4_2,12.908,77.506,12.908,77.504,300,40,0,0,residential
N4_3,N4_4,12.908,77.506,12.908,77.508,300,40,0,0,residential
N4_4,N4_3,12.908,77.508,12.908,77.506,300,40,0,0,residential
N2_0,N2_1,12.904,77.5,12.904,77.502,300,80,5,0,primary
N2_1,N2_0,12.904,77.502,12.904,77.5,300,80,5,0,primary
N2_1,N2_2,12.904,77.502,12.904,77.504,300,80,5,0,primary
N2_2,N2_1,12.904,77.504,12.904,77.502,300,80,5,0,primary
N2_2,N2_3,12.904,77.504,12.904,77.506,300,80,5,0,primary
N2_3,N2_2,12.904,77.506,12.904,77.504,300,80,5,0,primary
N2_3,N2_4,12.904,77.506,12.904,77.508,300,80,5,0,primary
N2_4,N2_3,12.904,77.508,12.904,77.506,300,80,5,0,primary
N0_0,N2_2,12.9,77.5,12.904,77.504,840.0,90,0,1,link
